OBJECTID,type_,desc_type,nom_plant,culture,echelle,province,nom_acquer,etat_plant,sup_adm_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,proprietaire,note,Shape__Area,Shape__Length
91,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,342,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,88445791-4105-45bb-adca-36bdade059f4, , ,3422783.32833862,9199.14154622222
92,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,En activité,144,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,26005c11-878d-4bae-a50b-7b6edbec0d47, , ,1436987.45916748,6830.51105528026
93,5120000,Culture pérenne, , ,De 30 à 100 hectares,, ,Abandonné,50,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,6e013cf8-ec09-4944-975d-051a7d309f51, , ,497354.960235596,2924.85272883322
94,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,En activité,322,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,2bbf2ac7-ea75-4274-81f1-fa8c4d05c141, , ,3225254.60289001,11561.1616639161
95,5120000,Culture pérenne, , ,De 10 à 30 hectares,, ,En activité,26,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,ea3e2c71-cd35-4326-988a-9077cbc64a66, , ,265306.135498047,2097.26912586343
96,5120000,Culture pérenne, , ,De 30 à 100 hectares,, ,Abandonné,37,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,accc6539-8473-4092-a1e9-261fee0d9961, , ,372927.329650879,2816.97584802801
97,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,455,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,d7364b5c-09cf-426e-bcf4-1b4c8dad6151, , ,4553641.12805176,8643.51048506686
98,5120000,Culture pérenne, ,Palmier à huile,De plus de 1000 hectares,, ,En activité,1549,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,6e0b159f-417e-43ec-8da6-f6d5e48f6f7e, , ,15487525.2441101,45568.7632594995
99,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,364,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,9445abff-6e0a-4dd8-b3b9-20c3bf51bc57, , ,3638587.6471405,8809.58344680773
100,5120000,Culture pérenne, ,Palmier à huile,De plus de 1000 hectares,, ,En activité,7374,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,9416e142-04d6-41a0-b746-2c60b7b2acb2, , ,73960193.5925903,124174.352566435
101,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,134,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,558ae59b-21e0-4ad2-a892-0f71ecc7442a, , ,1339649.5383873,5805.82383257425
102,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,Abandonné,649,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,2bc4c36e-ab0e-4e61-baf9-f9e2d580d1ae, , ,6494644.81791687,11208.9602202451
103,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,Abandonné,516,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,3f11ef9e-1a8b-4362-9ce9-a7091592e22a, , ,5171845.53173828,9315.61863172102
104,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,Abandonné,172,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,08ecc86a-e315-4e24-bc6b-192ac3640c1c, , ,1723861.30725098,5309.06040118529
105,5120000,Culture pérenne, ,Palmier à huile,De plus de 1000 hectares,, ,En activité,3210,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,8dafce3c-7871-4a75-8e56-865142d16f58, , ,32096947.3964691,67925.7406623585
106,5120000,Culture pérenne,Concession BEMBA,Palmier à huile,De 100 à 1000 hectares,, ,En activité,594,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,83a9ab4e-83b7-4791-bb7d-03ab67e486b2, , ,5945290.98846436,10719.324274123
107,5120000,Culture pérenne,Lokutu,Palmier à huile,De plus de 1000 hectares,,Unilever,En activité,14360,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,31f68210-d29c-4743-b57f-74fb8a873ae2,PHC/Feronia, ,143624230.019592,692315.591242392
